TweetID,NoRetweets
665776,0
665777,0
665778,0
665779,8.440123558044434
665780,0
665781,0
665782,0
665783,44.541561126708984
665784,17.631669998168945
665785,26.81974983215332
665786,20.116750717163086
665787,0
665788,0
665789,12.773456573486328
665790,0
665791,4.77040958404541
665792,2.9708898067474365
665793,6.765749931335449
665794,5.201158046722412
665795,0
665796,1.6815024614334106
665797,8.889260292053223
665798,138.2567901611328
665799,0
665800,0
665801,0
665802,0
665803,28.132953643798828
665804,0
665805,3.8239293098449707
665806,0
665807,3.544550657272339
665808,12.042444229125977
665809,0
665810,0
665811,70.60382843017578
665812,0
665813,0
665814,2.646284818649292
665815,0
665816,0
665817,0
665818,0
665819,0
665820,0
665821,0
665822,0
665823,0
665824,3.2275612354278564
665825,8.14923095703125
665826,41.26534652709961
665827,0
665828,125.07563018798828
665829,6.777405738830566
665830,0
665831,0
665832,0
665833,0
665834,0
665835,0
665836,0
665837,0
665838,39.85024642944336
665839,0
665840,0
665841,0
665842,0
665843,0
665844,0
665845,0
665846,18.015228271484375
665847,0
665848,2.6833341121673584
665849,5.864595413208008
665850,1.2342513799667358
665851,1.5976625680923462
665852,0
665853,0
665854,0
665855,0
665856,5.202676773071289
665857,0
665858,0
665859,7.838644504547119
665860,61.954139709472656
665861,0
665862,0
665863,0
665864,19.84078598022461
665865,0
665866,2.738006353378296
665867,1.381490707397461
665868,0
665869,1.2017762660980225
665870,0
665871,1.5472803115844727
665872,5.233242511749268
665873,5.883212566375732
665874,0
665875,0
665876,3.545623779296875
665877,0
665878,0
665879,22.791921615600586
665880,0
665881,5.170936107635498
665882,0
665883,0
665884,2.563319444656372
665885,5.789873123168945
665886,0
665887,0
665888,4.932254791259766
665889,0
665890,8.28420352935791
665891,0
665892,0
665893,0
665894,0
665895,0
665896,0
665897,0
665898,0
665899,11.801051139831543
665900,0
665901,0
665902,0
665903,0
665904,2.0362789630889893
665905,0
665906,5.45523738861084
665907,0
665908,6.213812828063965
665909,10.460136413574219
665910,0
665911,10.051133155822754
665912,81.77572631835938
665913,2.684074878692627
665914,0
665915,0
665916,11.363837242126465
665917,0
665918,5.297987461090088
665919,0
665920,0
665921,0
665922,3.0832433700561523
665923,12.707498550415039
665924,3.1131715774536133
665925,0
665926,0
665927,0
665928,0
665929,3.2664666175842285
665930,0
665931,5.115427017211914
665932,0
665933,0
665934,0
665935,5.591843128204346
665936,0
665937,0
665938,0
665939,1.4792908430099487
665940,0
665941,0
665942,0
665943,0
665944,0
665945,0
665946,0
665947,173.14276123046875
665948,0
665949,0
665950,0
665951,0
665952,0
665953,80.00401306152344
665954,0
665955,5.952611923217773
665956,0
665957,0
665958,0
665959,0
665960,0
665961,0
665962,0
665963,26.39652442932129
665964,0
665965,9.247478485107422
665966,0
665967,6.516262054443359
665968,38.69340133666992
665969,0
665970,5.957263469696045
665971,0
665972,3.4366090297698975
665973,0
665974,34.030799865722656
665975,0
665976,0
665977,0
665978,27.24563217163086
665979,0
665980,0
665981,0
665982,39.31997299194336
665983,2.857936382293701
665984,0
665985,0
665986,0
665987,0
665988,5.150185585021973
665989,0
665990,0
665991,4.918338298797607
665992,0
665993,0
665994,0
665995,0
665996,1.5924816131591797
665997,47.86526870727539
665998,83.3240966796875
665999,0
666000,0
666001,4.697961807250977
666002,0
666003,0
666004,5.011314868927002
666005,0
666006,1.1897854804992676
666007,0
666008,0
666009,24.16020965576172
666010,0
666011,5.604768753051758
666012,0
666013,3.497781276702881
666014,1.9969369173049927
666015,1.2013803720474243
666016,0
666017,0
666018,0
666019,7.417192459106445
666020,0
666021,0
666022,0
666023,57.3770751953125
666024,4.1382365226745605
666025,0
666026,6.813313961029053
666027,0
666028,0
666029,1.724166989326477
666030,2.567225456237793
666031,31.502050399780273
666032,0
666033,0
666034,0
666035,40.07317352294922
666036,0
666037,0
666038,6.648115634918213
666039,0
666040,0
666041,0
666042,3.0060231685638428
666043,0
666044,5.3784308433532715
666045,5.097083568572998
666046,0
666047,0
666048,0
666049,129.11764526367188
666050,192.22906494140625
666051,0
666052,7.036293029785156
666053,0
666054,11.46388053894043
666055,4.156236171722412
666056,0
666057,0
666058,0
666059,0
666060,0
666061,0
666062,0
666063,0
666064,0
666065,0
666066,0
666067,0
666068,0
666069,6.377000331878662
666070,65.55296325683594
666071,0
666072,0
666073,0
666074,0
666075,4.34238338470459
666076,12.362552642822266
666077,0
666078,0
666079,3.5820653438568115
666080,13.019895553588867
666081,0
666082,12.922521591186523
666083,39.99631118774414
666084,0
666085,0
666086,34.88856506347656
666087,0
666088,0
666089,6.615067005157471
666090,0
666091,3.0795037746429443
666092,0
666093,7.456604480743408
666094,3.4974544048309326
666095,4.659033298492432
666096,0
666097,0
666098,12.156442642211914
666099,0
666100,0
666101,0
666102,6.492600917816162
666103,0
666104,0
666105,5.5435004234313965
666106,0
666107,0
666108,4.188653945922852
666109,0
666110,5.562819480895996
666111,5.7235612869262695
666112,0
666113,8.17897891998291
666114,0
666115,0
666116,0
666117,0
666118,6.85924768447876
666119,0
666120,0
666121,0
666122,5.068718433380127
666123,48.78266143798828
666124,4.735172271728516
666125,0
666126,6.394615650177002
666127,3.6351749897003174
666128,0
666129,0
666130,5.580784320831299
666131,0
666132,0
666133,3.8998827934265137
666134,3.12273907661438
666135,10.038415908813477
666136,0
666137,7.245058536529541
666138,0
666139,0
666140,0
666141,0
666142,0
666143,9.032292366027832
666144,0
666145,4.178128719329834
666146,5.022446155548096
666147,0
666148,2.430191993713379
666149,0
666150,4.18077278137207
666151,0
666152,5.456764221191406
666153,32.65431594848633
666154,38.52204132080078
666155,1.544933795928955
666156,0
666157,0
666158,0
666159,5.120144844055176
666160,0
666161,4.408598899841309
666162,0
666163,0
666164,14.497350692749023
666165,58.66059875488281
666166,0
666167,0
666168,2.187495231628418
666169,2.419165849685669
666170,6.243785858154297
666171,6.43481969833374
666172,0
666173,22.43840217590332
666174,6.174678802490234
666175,0
666176,1.6638007164001465
666177,0
666178,0
